lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
165.7,165.8,-46.2,-46.1,0.0,40.0,5.0,10.5,2.8929984985337791e-04,0.000000,1
165.8,165.9,-46.3,-46.2,0.0,40.0,5.0,10.5,3.3219982758828949e-04,0.000000,1
165.8,165.9,-46.2,-46.1,0.0,40.0,5.0,10.5,3.1859983464668583e-04,0.000000,1
165.8,165.9,-46.1,-46.0,0.0,40.0,5.0,10.5,3.0709984061518268e-04,0.000000,1
165.8,165.9,-46.0,-45.9,0.0,40.0,5.0,10.5,2.9039984928247822e-04,0.000000,1
165.8,165.9,-45.9,-45.8,0.0,40.0,5.0,10.5,3.0639984097848255e-04,0.000000,1
165.8,165.9,-45.8,-45.7,0.0,40.0,5.0,10.5,2.7449985753457394e-04,0.000000,1
165.8,165.9,-45.7,-45.6,0.0,40.0,5.0,10.5,2.1729988722135854e-04,0.000000,1
165.8,165.9,-45.6,-45.5,0.0,40.0,5.0,10.5,1.8919990180525097e-04,0.000000,1
165.9,166.0,-46.4,-46.3,0.0,40.0,5.0,10.5,3.1559983620368497e-04,0.000000,1
165.9,166.0,-46.3,-46.2,0.0,40.0,5.0,10.5,3.4129982286539191e-04,0.000000,1
165.9,166.0,-46.2,-46.1,0.0,40.0,5.0,10.5,3.4479982104889290e-04,0.000000,1
165.9,166.0,-46.1,-46.0,0.0,40.0,5.0,10.5,3.2069983355678639e-04,0.000000,1
165.9,166.0,-46.0,-45.9,0.0,40.0,5.0,10.5,2.8789985057997753e-04,0.000000,1
165.9,166.0,-45.9,-45.8,0.0,40.0,5.0,10.5,2.9099984897107840e-04,0.000000,1
165.9,166.0,-45.8,-45.7,0.0,40.0,5.0,10.5,2.9869984497478045e-04,0.000000,1
165.9,166.0,-45.7,-45.6,0.0,40.0,5.0,10.5,2.6869986054477239e-04,0.000000,1
165.9,166.0,-45.6,-45.5,0.0,40.0,5.0,10.5,2.3629987736036365e-04,0.000000,1
165.9,166.0,-45.5,-45.4,0.0,40.0,5.0,10.5,2.2589988275796083e-04,0.000000,1
166.0,166.1,-46.5,-46.4,0.0,40.0,5.0,10.5,2.6219986391827065e-04,0.000000,1
166.0,166.1,-46.4,-46.3,0.0,40.0,5.0,10.5,2.9159984865967853e-04,0.000000,1
166.0,166.1,-46.3,-46.2,0.0,40.0,5.0,10.5,3.3429982649839005e-04,0.000000,1
166.0,166.1,-46.2,-46.1,0.0,40.0,5.0,10.5,3.7509980532320102e-04,0.000000,1
166.0,166.1,-46.1,-46.0,0.0,40.0,5.0,10.5,3.4529982078939302e-04,0.000000,1
166.0,166.1,-46.0,-45.9,0.0,40.0,5.0,10.5,2.9689984590898001e-04,0.000000,1
166.0,166.1,-45.9,-45.8,0.0,40.0,5.0,10.5,2.7609985670417437e-04,0.000000,1
166.0,166.1,-45.8,-45.7,0.0,40.0,5.0,10.5,2.9419984731027926e-04,0.000000,1
166.0,166.1,-45.7,-45.6,0.0,40.0,5.0,10.5,3.1089983864298379e-04,0.000000,1
166.0,166.1,-45.6,-45.5,0.0,40.0,5.0,10.5,2.9729984570138013e-04,0.000000,1
166.0,166.1,-45.5,-45.4,0.0,40.0,5.0,10.5,3.0039984409248088e-04,0.000000,1
166.0,166.1,-45.4,-45.3,0.0,40.0,5.0,10.5,2.6889986044097239e-04,0.000000,1
166.1,166.2,-46.6,-46.5,0.0,40.0,5.0,10.5,2.1549988815555807e-04,0.000000,1
166.1,166.2,-46.5,-46.4,0.0,40.0,5.0,10.5,2.3139987990346232e-04,0.000000,1
166.1,166.2,-46.4,-46.3,0.0,40.0,5.0,10.5,2.6119986443727040e-04,0.000000,1
166.1,166.2,-46.3,-46.2,0.0,40.0,5.0,10.5,3.0139984357348119e-04,0.000000,1
166.1,166.2,-46.2,-46.1,0.0,40.0,5.0,10.5,3.4239982229449217e-04,0.000000,1
166.1,166.2,-46.1,-46.0,0.0,40.0,5.0,10.5,3.6009981310819705e-04,0.000000,1
166.1,166.2,-46.0,-45.9,0.0,40.0,5.0,10.5,3.2389983189598726e-04,0.000000,1
166.1,166.2,-45.9,-45.8,0.0,40.0,5.0,10.5,2.7419985769027382e-04,0.000000,1
166.1,166.2,-45.8,-45.7,0.0,40.0,5.0,10.5,2.8339985291547635e-04,0.000000,1
166.1,166.2,-45.7,-45.6,0.0,40.0,5.0,10.5,3.2209983283018677e-04,0.000000,1
166.1,166.2,-45.6,-45.5,0.0,40.0,5.0,10.5,3.5209981726019483e-04,0.000000,1
166.1,166.2,-45.5,-45.4,0.0,40.0,5.0,10.5,3.7099980745109996e-04,0.000000,1
166.1,166.2,-45.4,-45.3,0.0,40.0,5.0,10.5,3.2219983277828682e-04,0.000000,1
166.1,166.2,-45.3,-45.2,0.0,40.0,5.0,10.5,3.1339983734548441e-04,0.000000,1
166.2,166.3,-46.7,-46.6,0.0,40.0,5.0,10.5,1.7389990974594685e-04,0.000000,1
166.2,166.3,-46.6,-46.5,0.0,40.0,5.0,10.5,1.8579990356985005e-04,0.000000,1
166.2,166.3,-46.5,-46.4,0.0,40.0,5.0,10.5,2.0579989318985544e-04,0.000000,1
166.2,166.3,-46.4,-46.3,0.0,40.0,5.0,10.5,2.3659987720466374e-04,0.000000,1
166.2,166.3,-46.3,-46.2,0.0,40.0,5.0,10.5,2.6699986142707190e-04,0.000000,1
166.2,166.3,-46.2,-46.1,0.0,40.0,5.0,10.5,2.9989984435198081e-04,0.000000,1
