lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
165.7,165.8,-46.2,-46.1,0.0,40.0,5.0,10.5,2.9909946939754128e-04,0.000000,1
165.8,165.9,-46.3,-46.2,0.0,40.0,5.0,10.5,3.1709943746559792e-04,0.000000,1
165.8,165.9,-46.2,-46.1,0.0,40.0,5.0,10.5,3.0719945502816670e-04,0.000000,1
165.8,165.9,-46.1,-46.0,0.0,40.0,5.0,10.5,3.2839941741943343e-04,0.000000,1
165.8,165.9,-46.0,-45.9,0.0,40.0,5.0,10.5,3.5369937253731303e-04,0.000000,1
165.8,165.9,-45.9,-45.8,0.0,40.0,5.0,10.5,4.1249926822629814e-04,0.000000,1
165.8,165.9,-45.8,-45.7,0.0,40.0,5.0,10.5,4.0919927408048775e-04,0.000000,1
165.8,165.9,-45.7,-45.6,0.0,40.0,5.0,10.5,3.5449937111811560e-04,0.000000,1
165.8,165.9,-45.6,-45.5,0.0,40.0,5.0,10.5,3.2449942433802117e-04,0.000000,1
165.9,166.0,-46.4,-46.3,0.0,40.0,5.0,10.5,2.8029950274868212e-04,0.000000,1
165.9,166.0,-46.3,-46.2,0.0,40.0,5.0,10.5,3.1289944491638471e-04,0.000000,1
165.9,166.0,-46.2,-46.1,0.0,40.0,5.0,10.5,3.1929943356280485e-04,0.000000,1
165.9,166.0,-46.1,-46.0,0.0,40.0,5.0,10.5,3.1669943817519663e-04,0.000000,1
165.9,166.0,-46.0,-45.9,0.0,40.0,5.0,10.5,3.2849941724203378e-04,0.000000,1
165.9,166.0,-45.9,-45.8,0.0,40.0,5.0,10.5,3.7709933102578674e-04,0.000000,1
165.9,166.0,-45.8,-45.7,0.0,40.0,5.0,10.5,4.3019923682655379e-04,0.000000,1
165.9,166.0,-45.7,-45.6,0.0,40.0,5.0,10.5,4.1659926095291105e-04,0.000000,1
165.9,166.0,-45.6,-45.5,0.0,40.0,5.0,10.5,3.7889932783259238e-04,0.000000,1
165.9,166.0,-45.5,-45.4,0.0,40.0,5.0,10.5,3.7059934255676626e-04,0.000000,1
166.0,166.1,-46.5,-46.4,0.0,40.0,5.0,10.5,1.8409967340717934e-04,0.000000,1
166.0,166.1,-46.4,-46.3,0.0,40.0,5.0,10.5,2.5339955046919742e-04,0.000000,1
166.0,166.1,-46.3,-46.2,0.0,40.0,5.0,10.5,2.9369947897712421e-04,0.000000,1
166.0,166.1,-46.2,-46.1,0.0,40.0,5.0,10.5,3.4139939435747434e-04,0.000000,1
166.0,166.1,-46.1,-46.0,0.0,40.0,5.0,10.5,3.2629942114482691e-04,0.000000,1
166.0,166.1,-46.0,-45.9,0.0,40.0,5.0,10.5,3.2139942983741148e-04,0.000000,1
166.0,166.1,-45.9,-45.8,0.0,40.0,5.0,10.5,3.4309939134167974e-04,0.000000,1
166.0,166.1,-45.8,-45.7,0.0,40.0,5.0,10.5,4.0579928011207702e-04,0.000000,1
166.0,166.1,-45.7,-45.6,0.0,40.0,5.0,10.5,4.5809918733204165e-04,0.000000,1
166.0,166.1,-45.6,-45.5,0.0,40.0,5.0,10.5,4.4509921039400069e-04,0.000000,1
166.0,166.1,-45.5,-45.4,0.0,40.0,5.0,10.5,4.5099919992741929e-04,0.000000,1
166.0,166.1,-45.4,-45.3,0.0,40.0,5.0,10.5,4.1449926467830442e-04,0.000000,1
166.1,166.2,-46.6,-46.5,0.0,40.0,5.0,10.5,1.7449969043754917e-04,0.000000,1
166.1,166.2,-46.5,-46.4,0.0,40.0,5.0,10.5,1.6949969930753341e-04,0.000000,1
166.1,166.2,-46.4,-46.3,0.0,40.0,5.0,10.5,2.3079959056152631e-04,0.000000,1
166.1,166.2,-46.3,-46.2,0.0,40.0,5.0,10.5,2.6379953201963017e-04,0.000000,1
166.1,166.2,-46.2,-46.1,0.0,40.0,5.0,10.5,3.0839945289937057e-04,0.000000,1
166.1,166.2,-46.1,-46.0,0.0,40.0,5.0,10.5,3.4489938814848538e-04,0.000000,1
