lon, lat, M, time_string, depth, catalog_id, event_id
15.342,38.595,3.60,2020-01-25T11:48:29.363602,14.2,0,0
15.109,41.736,3.70,2020-01-25T12:43:27.784367,16.1,0,1
11.287,44.876,3.70,2020-01-09T11:13:53.559387,9.1,0,2
10.915,44.897,4.10,2020-01-01T06:57:03.635551,4.0,0,3
10.914,44.886,3.90,2020-01-14T04:58:10.367284,8.0,0,4
13.461,42.332,3.90,2020-01-26T18:31:36.957566,9.4,0,5
13.153,42.893,3.50,2020-01-24T12:04:28.435055,8.0,0,6
13.212,42.569,4.00,2020-01-28T02:25:24.318906,9.8,0,7
14.935,37.839,4.50,2020-01-09T04:45:56.230012,28.3,0,8
14.739,41.069,3.60,2020-01-14T16:27:13.069671,10.9,0,11
11.319,44.005,4.80,2020-01-01T00:17:04.660777,7.3,0,10
14.739,41.069,3.60,2020-01-14T16:27:13.069671,10.9,0,11
12.369,43.5,3.50,2020-01-20T06:17:59.875047,9.2,1,0
14.3,38.485,4.30,2020-01-13T16:37:42.507051,16.2,1,1
13.173,42.805,3.50,2020-01-18T10:33:13.810361,8.3,1,2
13.3,42.585,3.50,2020-01-02T11:47:43.755375,9.9,1,3
14.935,37.839,3.80,2020-01-04T13:04:47.111736,28.3,1,8
13.263,42.463,4.10,2020-01-11T18:12:01.819897,13.7,1,5
14.736,41.082,4.10,2020-01-17T16:32:47.193975,10.7,1,9
14.736,41.082,4.10,2020-01-17T16:32:47.193975,10.7,1,9
14.935,37.839,3.80,2020-01-04T13:04:47.111736,28.3,1,8
14.736,41.082,4.10,2020-01-17T16:32:47.193975,10.7,1,9
13.648,42.901,4.00,2020-01-17T17:51:01.586009,25.8,2,0
10.513,46.633,3.60,2020-01-25T12:49:16.955525,9.8,2,1
15.016,37.72,3.50,2020-01-07T01:42:53.559204,1.4,2,2
12.383,43.495,3.50,2020-01-01T18:50:10.391920,5.6,2,3
13.056,42.903,3.70,2020-01-12T09:11:24.194975,10.3,2,4
11.319,44.005,3.70,2020-01-20T10:19:23.329937,7.3,2,8
13.263,42.463,3.50,2020-01-02T06:21:38.094170,13.7,2,6
11.319,44.005,3.70,2020-01-20T10:19:23.329937,7.3,2,8
11.319,44.005,3.70,2020-01-20T10:19:23.329937,7.3,2,8
14.78,38.527,3.80,2020-01-23T05:49:22.417956,19.6,3,0
13.191,42.801,4.60,2020-01-03T06:20:21.883447,10.4,3,1
14.92,37.777,3.50,2020-01-04T04:28:27.950690,28.1,3,2
16.007,39.453,3.60,2020-01-16T10:32:32.696255,13.0,3,3
14.935,37.839,3.60,2020-01-11T15:33:59.572222,28.3,3,10
14.935,37.839,3.60,2020-01-11T15:33:59.572222,28.3,3,10
14.935,37.839,3.60,2020-01-11T15:33:59.572222,28.3,3,10
13.263,42.463,3.50,2020-01-02T09:40:47.956562,13.7,3,9
14.739,41.069,3.90,2020-01-26T11:59:44.376135,10.9,3,8
13.263,42.463,3.50,2020-01-02T09:40:47.956562,13.7,3,9
14.935,37.839,3.60,2020-01-11T15:33:59.572222,28.3,3,10
14.736,41.082,3.80,2020-01-06T18:23:12.325254,10.7,3,11
13.088,42.842,3.60,2020-01-17T19:23:58.759724,9.4,4,0
11.114,47.336,4.00,2020-01-02T06:21:18.076982,10.0,4,1
15.093,37.664,3.90,2020-01-05T21:56:01.667094,2.1,4,2
9.532,46.696,3.50,2020-01-09T18:48:25.533594,2.0,4,3
13.321,42.495,3.70,2020-01-12T01:18:00.469130,11.0,4,4
17.698,40.821,4.00,2020-01-15T07:48:42.570155,1.0,4,5
8.982,44.083,3.60,2020-01-14T03:06:22.911039,10.0,4,6
13.171,42.928,3.80,2020-01-24T09:02:08.933029,9.7,4,7
13.186,42.745,3.60,2020-01-22T22:18:03.724751,9.3,4,8
14.736,41.082,3.70,2020-01-23T22:13:58.265858,10.7,4,13
14.935,37.839,5.10,2020-01-09T06:43:31.018897,28.3,4,12
13.263,42.463,3.50,2020-01-16T14:32:43.253404,13.7,4,11
14.935,37.839,5.10,2020-01-09T06:43:31.018897,28.3,4,12
14.736,41.082,3.70,2020-01-23T22:13:58.265858,10.7,4,13
16.121,41.474,3.60,2020-01-04T05:20:51.257861,5.0,5,0
14.841,36.992,3.50,2020-01-07T19:52:45.374622,7.4,5,1
13.862,41.413,4.00,2020-01-17T15:25:30.223182,1.2,5,2
12.718,42.783,3.80,2020-01-11T12:23:19.360188,7.4,5,3
14.926,37.25,3.60,2020-01-17T13:01:38.972982,1.3,5,4
11.955,43.89,4.30,2020-01-14T08:44:29.379653,8.8,5,5
13.702,42.911,3.50,2020-01-27T03:08:19.177867,21.3,5,6
10.979,44.865,3.70,2020-01-04T12:14:32.722070,9.1,5,7
11.319,44.005,4.20,2020-01-11T16:58:33.319736,7.3,5,8
13.263,42.463,3.50,2020-01-27T18:01:59.878196,13.7,5,9
14.739,41.069,3.60,2020-01-06T23:46:51.406577,10.9,5,10
14.935,37.839,3.70,2020-01-01T16:43:46.724955,28.3,5,11
13.62,42.694,4.00,2020-01-22T01:07:10.468974,18.0,6,0
13.847,41.981,4.50,2020-01-03T08:15:26.458435,20.8,6,1
13.247,42.71,6.80,2020-01-06T20:08:51.314543,14.6,6,2
16.329,39.531,3.70,2020-01-19T03:17:17.905545,7.6,6,3
14.736,41.082,4.40,2020-01-08T04:47:16.741195,10.7,6,11
13.263,42.463,4.40,2020-01-17T11:22:39.365805,13.7,6,9
14.736,41.082,4.40,2020-01-08T04:47:16.741195,10.7,6,11
14.739,41.069,3.80,2020-01-12T20:35:35.144545,10.9,6,7
13.263,42.463,4.40,2020-01-17T11:22:39.365805,13.7,6,9
13.263,42.463,4.40,2020-01-17T11:22:39.365805,13.7,6,9
14.935,37.839,3.60,2020-01-20T13:50:53.096365,28.3,6,10
14.736,41.082,4.40,2020-01-08T04:47:16.741195,10.7,6,11
11.319,44.005,3.60,2020-01-13T05:39:22.166095,7.3,6,12
13.054,42.798,3.50,2020-01-17T23:53:48.270387,10.0,7,0
11.1,44.824,5.00,2020-01-01T20:12:18.934436,4.6,7,1
15.147,41.118,4.20,2020-01-14T17:07:26.838820,12.6,7,2
12.433,43.804,4.80,2020-01-14T03:09:55.882329,19.6,7,3
12.563,43.312,3.60,2020-01-19T09:49:25.562140,7.8,7,4
16.045,39.888,3.60,2020-01-13T05:11:18.144159,7.6,7,5
14.739,41.069,4.40,2020-01-20T05:36:55.542636,10.9,7,10
11.319,44.005,3.70,2020-01-07T18:21:20.790700,7.3,7,7
13.263,42.463,3.80,2020-01-04T07:07:35.756963,13.7,7,8
14.736,41.082,3.60,2020-01-13T07:03:09.426231,10.7,7,9
14.739,41.069,4.40,2020-01-20T05:36:55.542636,10.9,7,10
14.935,37.839,3.50,2020-01-11T14:19:35.941714,28.3,7,11
14.852,37.662,3.60,2020-01-04T17:41:46.490733,20.6,8,0
12.539,43.366,4.40,2020-01-15T18:46:27.614576,8.3,8,1
13.214,42.722,3.70,2020-01-09T21:37:05.593565,10.7,8,2
11.319,44.005,3.50,2020-01-15T02:15:58.282293,7.3,8,3
14.935,37.839,4.60,2020-01-14T04:32:10.756574,28.3,8,7
14.739,41.069,3.90,2020-01-17T19:29:15.061902,10.9,8,5
14.935,37.839,4.60,2020-01-14T04:32:10.756574,28.3,8,7
14.935,37.839,4.60,2020-01-14T04:32:10.756574,28.3,8,7
13.133,42.792,4.00,2020-01-03T16:29:34.959359,9.5,9,0
7.155,44.201,3.90,2020-01-15T10:07:11.808196,16.3,9,1
13.023,42.807,4.00,2020-01-04T00:14:51.444683,10.1,9,2
13.074,43.012,3.60,2020-01-07T08:22:15.814699,6.8,9,3
13.031,43.054,3.50,2020-01-17T22:27:10.006783,5.2,9,4
13.484,42.31,4.30,2020-01-16T16:22:38.551985,16.4,9,5
13.033,43.036,5.50,2020-01-01T21:20:42.105391,8.7,9,6
13.263,42.463,3.80,2020-01-15T04:45:48.351906,13.7,9,7
14.935,37.839,3.50,2020-01-11T17:53:40.175091,28.3,9,8
11.319,44.005,3.60,2020-01-08T22:41:07.419458,7.3,9,10
11.319,44.005,3.60,2020-01-08T22:41:07.419458,7.3,9,10
13.149,42.947,3.70,2020-01-06T22:01:50.517414,10.8,10,0
10.107,44.202,3.70,2020-01-27T20:28:09.918057,10.0,10,1
9.74,44.742,4.10,2020-01-01T05:44:20.700944,29.2,10,2
12.831,38.473,4.60,2020-01-05T08:56:01.624004,27.1,10,3
13.18,42.717,3.60,2020-01-05T15:59:27.386618,10.8,10,4
13.14,43.011,4.40,2020-01-20T13:57:24.397652,7.3,10,5
13.636,42.233,3.80,2020-01-13T11:25:37.894788,9.2,10,6
13.449,42.306,3.60,2020-01-28T00:56:07.243574,9.5,10,7
14.739,41.069,4.00,2020-01-25T21:53:29.267023,10.9,10,9
14.739,41.069,4.00,2020-01-25T21:53:29.267023,10.9,10,9
14.736,41.082,4.30,2020-01-01T05:32:35.495244,10.7,10,16
14.935,37.839,3.60,2020-01-12T22:26:59.891406,28.3,10,14
14.736,41.082,4.30,2020-01-01T05:32:35.495244,10.7,10,16
14.935,37.839,3.60,2020-01-12T22:26:59.891406,28.3,10,14
14.935,37.839,3.60,2020-01-12T22:26:59.891406,28.3,10,14
13.263,42.463,3.50,2020-01-02T04:54:39.007322,13.7,10,15
14.736,41.082,4.30,2020-01-01T05:32:35.495244,10.7,10,16
12.458,43.431,3.50,2020-01-01T07:46:27.048616,7.5,11,0
13.187,42.749,3.90,2020-01-17T06:12:14.928353,9.9,11,1
13.191,42.813,3.50,2020-01-23T09:57:25.026249,9.6,11,2
13.473,42.304,3.60,2020-01-16T18:42:06.244449,7.8,11,3
14.935,37.839,3.50,2020-01-18T17:06:02.262628,28.3,11,4
14.736,41.082,4.20,2020-01-17T14:39:46.801339,10.7,11,6
14.736,41.082,4.20,2020-01-17T14:39:46.801339,10.7,11,6
11.141,44.834,3.90,2020-01-05T10:03:44.726809,9.9,12,0
15.998,39.915,4.00,2020-01-19T15:18:53.746949,10.1,12,1
14.704,37.715,4.20,2020-01-21T22:49:40.479420,25.6,12,2
15.001,37.839,3.50,2020-01-25T12:47:40.188376,25.8,12,3
11.243,44.851,4.20,2020-01-05T10:10:35.090983,8.9,12,4
14.876,38.078,5.90,2020-01-01T17:01:59.429511,7.8,12,5
14.935,37.839,3.50,2020-01-08T06:48:57.815112,28.3,12,6
11.319,44.005,3.70,2020-01-13T23:15:05.945277,7.3,12,7
14.736,41.082,3.90,2020-01-19T02:16:53.911782,10.7,12,9
14.736,41.082,3.90,2020-01-19T02:16:53.911782,10.7,12,9
16.021,39.891,3.50,2020-01-10T14:40:50.456285,8.9,13,0
17.205,39.255,3.50,2020-01-13T01:13:04.060718,10.9,13,1
11.043,44.86,4.30,2020-01-10T01:23:46.128120,8.1,13,2
14.595,41.505,4.80,2020-01-12T16:43:14.028336,19.4,13,3
12.681,43.319,3.70,2020-01-04T20:35:54.625133,10.3,13,4
11.222,44.848,3.90,2020-01-27T10:30:04.501926,9.1,13,5
14.93,36.638,3.50,2020-01-04T11:17:55.602684,5.0,13,6
15.127,37.636,3.60,2020-01-18T20:32:58.163197,5.1,13,7
14.736,41.082,4.20,2020-01-11T19:03:50.853569,10.7,13,11
13.263,42.463,3.80,2020-01-05T12:18:53.347206,13.7,13,15
14.736,41.082,4.20,2020-01-11T19:03:50.853569,10.7,13,11
14.736,41.082,4.20,2020-01-11T19:03:50.853569,10.7,13,11
14.739,41.069,3.60,2020-01-05T17:38:32.669156,10.9,13,12
11.319,44.005,3.80,2020-01-21T17:09:03.239171,7.3,13,13
14.935,37.839,3.50,2020-01-12T16:25:30.974065,28.3,13,14
13.263,42.463,3.80,2020-01-05T12:18:53.347206,13.7,13,15
13.255,42.719,3.60,2020-01-23T13:59:43.639194,13.1,14,0
13.14,42.81,3.60,2020-01-16T04:14:12.762913,10.6,14,1
13.299,42.679,3.50,2020-01-18T22:39:55.955328,8.6,14,2
11.074,44.867,3.90,2020-01-18T18:36:13.944493,18.7,14,3
13.457,42.307,3.60,2020-01-15T11:37:42.786034,9.2,14,4
13.144,42.873,3.70,2020-01-11T12:30:02.411530,11.8,14,5
14.739,41.069,4.00,2020-01-15T16:43:34.956296,10.9,14,10
14.935,37.839,3.60,2020-01-02T05:17:27.183429,28.3,14,8
14.935,37.839,3.60,2020-01-02T05:17:27.183429,28.3,14,8
11.319,44.005,3.50,2020-01-13T14:17:36.717165,7.3,14,11
14.739,41.069,4.00,2020-01-15T16:43:34.956296,10.9,14,10
11.319,44.005,3.50,2020-01-13T14:17:36.717165,7.3,14,11
14.736,41.082,3.50,2020-01-13T22:38:38.935432,10.7,14,12
