lon,lat,magnitude,time_string,depth,catalog_id,event_id
174.2863,-41.8342,3.7000,2016-11-17T04:35:59,10.00,0,0
173.1393,-42.4669,4.2000,2016-11-17T15:29:00,10.00,0,0
173.9487,-41.8473,4.3000,2016-11-17T02:19:04,10.00,0,0
174.2885,-41.7334,4.1000,2016-11-17T19:10:23,10.00,0,0
172.9688,-42.4487,3.9000,2016-11-17T07:19:18,10.00,0,0
173.7566,-42.0279,3.6000,2016-11-17T06:44:02,10.00,0,0
172.8875,-42.5957,4.8000,2016-11-17T14:52:31,10.00,0,0
173.8975,-41.8206,3.9000,2016-11-17T20:31:51,10.00,0,0
172.6705,-42.6523,4.7000,2016-11-17T15:01:52,10.00,0,0
173.9142,-41.8039,4.7000,2016-11-17T21:18:10,10.00,0,0
172.6152,-42.6413,3.7000,2016-11-17T16:01:19,10.00,0,0
172.6669,-42.6454,3.7000,2016-11-17T15:08:02,10.00,0,0
173.0650,-42.7451,3.8000,2016-11-17T10:16:57,10.00,1,0
173.5360,-42.3840,4.3000,2016-11-17T08:15:26,10.00,1,0
173.8266,-42.3549,4.2000,2016-11-17T17:42:55,10.00,1,0
173.1479,-42.4850,3.6000,2016-11-17T06:53:10,10.00,1,0
173.4946,-42.2563,3.9000,2016-11-17T19:26:06,10.00,1,0
173.9346,-42.2781,3.6000,2016-11-17T00:44:43,10.00,1,0
174.2365,-41.7323,4.1000,2016-11-17T07:19:11,10.00,1,0
172.6970,-42.6670,3.6000,2016-11-17T13:11:19,10.00,1,0
173.0716,-42.6931,3.6000,2016-11-17T10:17:59,10.00,1,0
173.4705,-42.2388,4.7000,2016-11-17T20:06:13,10.00,1,0
174.2273,-41.7491,4.2000,2016-11-17T07:42:54,10.00,1,0
173.0611,-42.7059,4.1000,2016-11-17T11:16:23,10.00,1,0
174.2409,-41.7451,3.8000,2016-11-17T07:44:49,10.00,1,0
173.0580,-42.7011,3.6000,2016-11-17T11:18:44,10.00,1,0
174.2491,-41.7119,3.8000,2016-11-17T08:27:38,10.00,1,0
174.2556,-41.6998,5.6000,2016-11-17T11:35:26,10.00,1,0
174.3121,-41.6911,3.6000,2016-11-17T11:38:05,10.00,1,0
174.2955,-41.6514,3.6000,2016-11-17T11:38:51,10.00,1,0
174.3139,-41.6502,3.9000,2016-11-17T11:49:44,10.00,1,0
174.3449,-41.6578,3.8000,2016-11-17T13:16:54,10.00,1,0
172.9316,-42.4827,4.1000,2016-11-17T10:21:38,10.00,2,0
174.0669,-41.9852,4.0000,2016-11-17T00:33:59,10.00,2,0
173.6594,-42.2697,4.4000,2016-11-17T19:36:36,10.00,2,0
172.9577,-42.5963,3.8000,2016-11-17T05:15:51,10.00,2,0
173.8433,-42.3554,3.6000,2016-11-17T10:30:10,10.00,2,0
174.3291,-41.8866,3.8000,2016-11-17T06:48:18,10.00,2,0
173.7885,-42.0881,4.9000,2016-11-17T20:16:29,10.00,2,0
174.1703,-41.7248,4.6000,2016-11-17T02:16:34,10.00,2,0
173.6839,-42.2504,3.9000,2016-11-17T21:17:59,10.00,2,0
173.7914,-42.3706,3.8000,2016-11-17T10:54:29,10.00,2,0
174.3458,-41.8792,3.6000,2016-11-17T08:39:54,10.00,2,0
174.3099,-41.8599,4.2000,2016-11-17T07:10:04,10.00,2,0
173.7668,-42.1366,4.5000,2016-11-17T20:20:51,10.00,2,0
173.8002,-42.3723,3.6000,2016-11-17T15:29:11,10.00,2,0
173.7483,-42.2568,3.8000,2016-11-17T13:19:43,10.00,3,0
173.5076,-42.3792,3.6000,2016-11-17T11:44:29,10.00,3,0
173.7594,-42.3255,4.5000,2016-11-17T13:48:34,10.00,3,0
174.2458,-41.6907,3.8000,2016-11-17T15:47:06,10.00,3,0
173.7905,-42.2917,4.7000,2016-11-17T15:16:17,10.00,3,0
173.8035,-42.2782,3.7000,2016-11-17T17:40:28,10.00,3,0
174.1774,-41.7181,3.6000,2016-11-17T20:50:55,10.00,4,0
174.1015,-41.9755,4.0000,2016-11-17T00:08:38,10.00,4,0
173.7617,-42.3344,3.6000,2016-11-17T16:09:46,10.00,4,0
174.0717,-41.9529,3.6000,2016-11-17T00:22:58,10.00,4,0
173.7705,-42.3477,4.1000,2016-11-17T16:14:01,10.00,4,0
173.1042,-42.8096,4.1000,2016-11-17T22:05:42,10.00,5,0
173.0950,-42.7588,3.8000,2016-11-17T15:08:52,10.00,5,0
173.8386,-42.4415,3.8000,2016-11-17T10:49:35,10.00,5,0
173.4202,-42.0095,4.4000,2016-11-17T10:25:24,10.00,5,0
173.5048,-42.2769,3.9000,2016-11-17T17:28:02,10.00,5,0
174.3075,-41.7071,3.7000,2016-11-17T00:26:21,10.00,5,0
174.1122,-41.9367,4.4000,2016-11-17T14:04:07,10.00,5,0
174.2869,-41.7119,4.0000,2016-11-17T03:14:18,10.00,5,0
174.2715,-41.7377,4.1000,2016-11-17T16:34:25,10.00,5,0
174.0912,-41.9135,3.7000,2016-11-17T14:42:29,10.00,5,0
173.1330,-42.8036,3.6000,2016-11-17T16:59:37,10.00,5,0
173.7991,-42.4826,4.1000,2016-11-17T10:55:51,10.00,5,0
173.5043,-42.2883,4.0000,2016-11-17T17:45:20,10.00,5,0
174.3076,-41.7039,3.6000,2016-11-17T00:36:46,10.00,5,0
174.3277,-41.7178,3.6000,2016-11-17T05:34:01,10.00,5,0
174.1066,-41.9436,4.9000,2016-11-17T14:32:15,10.00,5,0
173.7777,-42.4853,3.7000,2016-11-17T11:18:48,10.00,5,0
174.3414,-41.7109,3.8000,2016-11-17T00:47:45,10.00,5,0
174.0831,-41.9366,3.6000,2016-11-17T14:39:07,10.00,5,0
173.0453,-42.6617,3.8000,2016-11-17T12:12:09,10.00,6,0
172.9512,-42.7667,4.2000,2016-11-17T07:24:50,10.00,6,0
173.5026,-42.3442,3.8000,2016-11-17T05:00:46,10.00,6,0
174.1927,-41.7158,3.6000,2016-11-17T12:58:34,10.00,6,0
174.3153,-41.8054,3.9000,2016-11-17T18:39:47,10.00,6,0
174.1345,-41.9794,3.7000,2016-11-17T14:36:55,10.00,6,0
174.2764,-41.6984,3.9000,2016-11-17T18:01:44,10.00,6,0
174.3114,-41.7091,3.6000,2016-11-17T07:12:00,10.00,6,0
172.8106,-42.5835,4.8000,2016-11-17T03:47:00,10.00,7,0
172.9696,-42.4672,4.3000,2016-11-17T09:50:33,10.00,7,0
174.2014,-41.7603,5.2000,2016-11-17T03:16:19,10.00,7,0
174.2253,-41.2740,3.8000,2016-11-17T04:02:01,10.00,7,0
173.8324,-42.2538,4.1000,2016-11-17T14:39:18,10.00,7,0
174.2779,-41.6872,3.8000,2016-11-17T22:16:47,10.00,7,0
173.7364,-42.0370,4.9000,2016-11-17T01:13:31,10.00,7,0
172.7803,-42.6164,4.8000,2016-11-17T08:43:28,10.00,7,0
172.7949,-42.5801,3.9000,2016-11-17T05:54:35,10.00,7,0
172.8110,-42.5952,3.7000,2016-11-17T03:53:59,10.00,7,0
172.8267,-42.5674,3.6000,2016-11-17T09:36:05,10.00,7,0
172.9626,-42.4430,3.7000,2016-11-17T12:20:15,10.00,7,0
174.1002,-41.7288,5.1000,2016-11-17T04:06:58,10.00,7,0
174.1824,-41.7750,3.9000,2016-11-17T07:13:56,10.00,7,0
174.2120,-41.7618,5.7000,2016-11-17T03:33:41,10.00,7,0
174.2372,-41.7404,4.1000,2016-11-17T08:33:25,10.00,7,0
174.2106,-41.7472,3.6000,2016-11-17T03:22:19,10.00,7,0
173.7008,-42.0571,4.0000,2016-11-17T01:24:54,10.00,7,0
173.7915,-42.0702,4.2000,2016-11-17T02:37:34,10.00,7,0
173.0046,-42.4130,3.6000,2016-11-17T12:33:49,10.00,7,0
174.0754,-41.7499,3.6000,2016-11-17T04:09:04,10.00,7,0
174.0442,-41.7933,3.6000,2016-11-17T19:11:48,10.00,7,0
174.2422,-41.7933,3.6000,2016-11-17T07:14:00,10.00,7,0
174.2211,-41.7402,3.7000,2016-11-17T09:15:00,10.00,7,0
174.0666,-41.7349,3.6000,2016-11-17T04:17:44,10.00,7,0
174.0642,-41.7361,3.6000,2016-11-17T06:36:36,10.00,7,0
173.6663,-43.3266,4.2000,2016-11-17T08:14:19,10.00,8,0
173.5836,-43.3199,4.3000,2016-11-17T08:21:20,10.00,8,0
173.0990,-42.7644,4.3000,2016-11-17T12:49:49,10.00,8,0
173.0203,-42.5898,3.7000,2016-11-17T13:01:22,10.00,8,0
173.6356,-42.2812,5.6000,2016-11-17T03:10:40,10.00,8,0
173.8095,-42.1816,3.9000,2016-11-17T04:49:40,10.00,8,0
174.2002,-41.7709,4.0000,2016-11-17T07:47:24,10.00,8,0
174.1792,-41.9273,3.8000,2016-11-17T08:35:19,10.00,8,0
174.8919,-41.6533,4.0000,2016-11-17T11:41:16,10.00,8,0
173.5981,-43.3199,3.7000,2016-11-17T10:23:35,10.00,8,0
173.5988,-43.3271,3.7000,2016-11-17T08:21:54,10.00,8,0
173.6119,-43.2865,3.8000,2016-11-17T08:21:46,10.00,8,0
173.7863,-42.2322,4.2000,2016-11-17T08:53:00,10.00,8,0
173.6222,-42.2505,4.5000,2016-11-17T11:28:45,10.00,8,0
174.2356,-42.5631,3.9000,2016-11-17T11:43:47,10.00,8,0
174.2364,-41.7734,3.6000,2016-11-17T07:50:51,10.00,8,0
174.2051,-42.5706,4.3000,2016-11-17T23:08:58,10.00,8,0
166.0784,-46.0967,3.7000,2016-11-17T00:32:01,10.00,9,0
172.8934,-42.7893,3.7000,2016-11-17T11:40:55,10.00,9,0
172.9660,-42.9153,3.7000,2016-11-17T00:03:17,10.00,9,0
173.7040,-42.3974,3.6000,2016-11-17T17:45:56,10.00,9,0
173.7666,-42.2616,3.9000,2016-11-17T02:58:53,10.00,9,0
172.7588,-42.7581,3.8000,2016-11-17T14:34:36,10.00,9,0
173.7612,-42.2862,4.0000,2016-11-17T17:30:33,10.00,9,0
173.8670,-42.0936,3.9000,2016-11-17T13:04:23,10.00,9,0
172.9281,-42.7603,4.1000,2016-11-17T00:00:44,10.00,10,0
172.9564,-42.7838,3.7000,2016-11-17T02:01:03,10.00,10,0
173.6405,-42.2998,3.8000,2016-11-17T07:22:03,10.00,10,0
173.9550,-41.8594,3.9000,2016-11-17T18:00:45,10.00,10,0
172.7937,-42.7565,3.8000,2016-11-17T23:05:17,10.00,10,0
174.0025,-42.3012,3.7000,2016-11-17T18:00:20,10.00,10,0
173.4907,-42.2877,3.8000,2016-11-17T08:44:02,10.00,10,0
173.6673,-42.0218,3.6000,2016-11-17T15:03:56,10.00,10,0
174.2035,-41.7502,3.7000,2016-11-17T08:35:05,10.00,10,0
174.1758,-41.9307,3.6000,2016-11-17T04:44:24,10.00,10,0
174.5457,-41.6794,4.0000,2016-11-17T18:37:10,10.00,10,0
174.2355,-41.7107,3.7000,2016-11-17T20:41:20,10.00,10,0
173.7811,-42.2935,3.6000,2016-11-17T18:40:07,10.00,10,0
172.9660,-42.7712,4.1000,2016-11-17T03:07:30,10.00,10,0
172.9716,-42.6941,3.7000,2016-11-17T04:04:24,10.00,10,0
172.8057,-42.6773,4.9000,2016-11-17T23:50:57,10.00,10,0
173.5714,-41.9742,3.9000,2016-11-17T22:40:41,10.00,10,0
174.0644,-41.9870,3.8000,2016-11-17T04:46:36,10.00,10,0
174.5674,-41.6943,3.6000,2016-11-17T18:41:47,10.00,10,0
172.7938,-42.6741,3.8000,2016-11-17T23:54:27,10.00,10,0
174.6006,-41.6821,3.8000,2016-11-17T18:53:44,10.00,10,0
174.5743,-41.7070,4.6000,2016-11-17T19:19:16,10.00,10,0
174.5619,-41.6871,3.8000,2016-11-17T21:56:14,10.00,10,0
173.1023,-42.8721,3.7000,2016-11-17T22:21:03,10.00,11,0
173.7920,-41.9397,4.2000,2016-11-17T20:07:13,10.00,11,0
173.8788,-41.9043,3.9000,2016-11-17T15:28:27,10.00,11,0
174.2294,-41.6568,3.9000,2016-11-17T18:39:47,10.00,11,0
174.1971,-41.9437,4.0000,2016-11-17T07:49:06,10.00,11,0
173.5231,-42.2036,4.1000,2016-11-17T16:40:43,10.00,11,0
173.6491,-42.2945,4.2000,2016-11-17T14:15:27,10.00,11,0
173.1565,-42.4879,4.1000,2016-11-17T00:12:03,10.00,11,0
174.1485,-41.6671,3.6000,2016-11-17T13:28:18,10.00,11,0
174.1862,-41.7153,3.6000,2016-11-17T17:42:38,10.00,11,0
173.2235,-42.8374,4.0000,2016-11-17T11:12:05,10.00,11,0
173.9790,-42.3840,4.0000,2016-11-17T09:07:15,10.00,11,0
174.2622,-41.7575,5.0000,2016-11-17T15:45:54,10.00,11,0
174.5283,-41.6083,3.9000,2016-11-17T23:02:30,10.00,11,0
174.2034,-41.6655,4.1000,2016-11-17T18:59:52,10.00,11,0
173.1706,-42.5003,4.0000,2016-11-17T00:14:42,10.00,11,0
174.1468,-41.7032,4.1000,2016-11-17T15:30:53,10.00,11,0
174.1873,-41.7256,3.9000,2016-11-17T19:58:07,10.00,11,0
173.4412,-42.6152,3.6000,2016-11-17T22:05:16,10.00,11,0
174.2123,-41.7804,3.7000,2016-11-17T17:47:59,10.00,11,0
173.1384,-42.5173,3.8000,2016-11-17T00:28:05,10.00,11,0
173.0206,-42.5689,5.0000,2016-11-17T22:05:19,10.00,12,0
173.0160,-41.7802,3.8000,2016-11-17T13:46:31,10.00,12,0
173.0780,-42.7232,4.1000,2016-11-17T02:39:01,10.00,12,0
173.5447,-42.1906,3.7000,2016-11-17T17:38:45,10.00,12,0
173.7803,-42.1621,4.9000,2016-11-17T04:16:08,10.00,12,0
173.6858,-41.9536,3.7000,2016-11-17T00:41:37,10.00,12,0
173.5773,-42.2851,3.9000,2016-11-17T03:02:52,10.00,12,0
173.7965,-42.1435,3.7000,2016-11-17T04:22:09,10.00,12,0
173.7791,-42.1576,3.8000,2016-11-17T04:29:09,10.00,12,0
173.7891,-42.1393,3.6000,2016-11-17T06:57:43,10.00,12,0
173.4994,-42.9595,3.7000,2016-11-17T12:02:55,10.00,13,0
173.6260,-42.2469,4.9000,2016-11-17T15:04:33,10.00,13,0
173.5745,-42.2285,4.9000,2016-11-17T08:49:49,10.00,13,0
173.8584,-42.2147,3.6000,2016-11-17T17:58:56,10.00,13,0
174.3501,-41.6791,4.0000,2016-11-17T05:05:05,10.00,13,0
172.8460,-42.6116,3.7000,2016-11-17T05:13:03,10.00,13,0
174.3088,-41.7333,4.5000,2016-11-17T12:53:34,10.00,13,0
174.1662,-41.7234,4.5000,2016-11-17T10:44:53,10.00,13,0
173.7080,-42.1284,3.6000,2016-11-17T11:51:55,10.00,13,0
173.6926,-42.3116,4.4000,2016-11-17T23:29:27,10.00,13,0
174.4760,-41.7895,3.8000,2016-11-17T13:42:22,10.00,13,0
174.2986,-41.7063,3.8000,2016-11-17T09:15:30,10.00,13,0
173.9908,-42.4710,4.4000,2016-11-17T01:46:42,10.00,13,0
174.0533,-42.2571,3.9000,2016-11-17T15:49:15,10.00,13,0
174.2959,-41.6811,4.0000,2016-11-17T04:48:31,10.00,13,0
173.1917,-42.5558,3.7000,2016-11-17T23:35:01,10.00,13,0
173.4894,-42.9544,3.9000,2016-11-17T12:05:29,10.00,13,0
174.3663,-41.6909,4.2000,2016-11-17T10:25:49,10.00,13,0
172.8142,-42.5557,3.7000,2016-11-17T05:19:55,10.00,13,0
173.7529,-42.2711,3.7000,2016-11-17T17:34:42,10.00,13,0
173.7045,-42.3070,3.6000,2016-11-17T23:51:19,10.00,13,0
173.9613,-42.4731,4.1000,2016-11-17T02:01:39,10.00,13,0
174.0473,-42.2677,3.7000,2016-11-17T17:21:05,10.00,13,0
173.7611,-42.2581,3.7000,2016-11-17T17:39:42,10.00,13,0
173.9680,-42.4889,3.6000,2016-11-17T09:11:24,10.00,13,0
173.7643,-42.2586,3.6000,2016-11-17T18:51:13,10.00,13,0
173.7519,-42.2682,4.6000,2016-11-17T18:04:08,10.00,13,0
173.6990,-42.2088,4.4000,2016-11-17T19:35:49,10.00,13,0
173.9302,-42.4838,3.6000,2016-11-17T13:41:20,10.00,13,0
173.7034,-42.2770,3.7000,2016-11-17T18:43:58,10.00,13,0
173.9752,-41.8892,3.6000,2016-11-17T11:42:17,10.00,14,0
174.2319,-42.4135,3.9000,2016-11-17T03:37:56,10.00,14,0
173.2906,-42.4716,4.6000,2016-11-17T12:35:06,10.00,15,0
173.9816,-42.2774,4.2000,2016-11-17T02:10:46,10.00,15,0
172.8933,-42.6289,4.0000,2016-11-17T18:12:57,10.00,15,0
172.8264,-42.6101,3.9000,2016-11-17T09:35:37,10.00,15,0
173.6979,-42.2870,5.4000,2016-11-17T17:59:49,10.00,15,0
173.2889,-42.4729,4.0000,2016-11-17T13:31:04,10.00,15,0
173.3295,-42.5180,3.9000,2016-11-17T12:44:39,10.00,15,0
173.2757,-42.4868,3.6000,2016-11-17T12:41:56,10.00,15,0
173.7150,-42.2981,4.7000,2016-11-17T19:30:53,10.00,15,0
173.2575,-42.4596,3.6000,2016-11-17T13:33:12,10.00,15,0
170.0837,-43.6456,5.8000,2016-11-17T13:01:55,10.00,16,0
169.9386,-43.7144,3.9000,2016-11-17T23:38:07,10.00,16,0
170.0879,-43.6622,3.7000,2016-11-17T13:51:51,10.00,16,0
170.0969,-43.6261,3.9000,2016-11-17T20:46:36,10.00,16,0
170.0433,-43.6481,4.7000,2016-11-17T17:01:20,10.00,16,0
170.0761,-43.6475,5.0000,2016-11-17T13:07:46,10.00,16,0
169.9842,-43.5955,3.7000,2016-11-17T13:30:32,10.00,16,0
170.0762,-43.5189,3.7000,2016-11-17T16:05:08,10.00,16,0
173.1209,-42.7770,3.7000,2016-11-17T09:07:37,10.00,16,0
172.9378,-42.8300,3.6000,2016-11-17T11:12:08,10.00,16,0
173.7078,-42.0781,4.1000,2016-11-17T16:53:53,10.00,16,0
172.9010,-42.6444,4.2000,2016-11-17T02:18:30,10.00,16,0
174.2071,-41.7361,3.6000,2016-11-17T05:11:33,10.00,16,0
173.4810,-42.2748,4.2000,2016-11-17T19:22:26,10.00,16,0
170.1224,-43.6394,3.8000,2016-11-17T21:20:35,10.00,16,0
172.8708,-42.8621,4.2000,2016-11-17T18:08:33,10.00,16,0
172.8408,-42.8390,3.6000,2016-11-17T22:53:01,10.00,16,0
173.2914,-42.7181,4.1000,2016-11-17T18:13:09,10.00,17,0
173.8265,-41.7508,4.3000,2016-11-17T14:42:26,10.00,17,0
172.8030,-42.5307,3.8000,2016-11-17T09:45:28,10.00,17,0
173.9735,-41.9210,4.1000,2016-11-17T18:09:56,10.00,17,0
172.7548,-42.6962,4.0000,2016-11-17T09:03:29,10.00,17,0
173.9308,-41.7478,3.6000,2016-11-17T14:44:14,10.00,17,0
173.7501,-41.7424,4.0000,2016-11-17T22:39:51,10.00,17,0
172.8033,-42.5389,4.1000,2016-11-17T09:52:03,10.00,17,0
172.7573,-42.7099,3.6000,2016-11-17T11:39:18,10.00,17,0
173.9395,-41.7526,4.0000,2016-11-17T16:04:55,10.00,17,0
173.8134,-41.6925,3.6000,2016-11-17T14:45:29,10.00,17,0
173.9106,-41.7033,4.7000,2016-11-17T16:05:25,10.00,17,0
173.0580,-42.5352,3.7000,2016-11-17T04:24:35,10.00,18,0
173.8372,-42.0320,3.8000,2016-11-17T17:03:05,10.00,18,0
173.2707,-42.3452,3.6000,2016-11-17T01:53:59,10.00,18,0
174.3044,-41.6953,4.0000,2016-11-17T21:39:29,10.00,18,0
174.1542,-41.8457,4.0000,2016-11-17T08:50:38,10.00,18,0
174.0453,-41.7811,3.7000,2016-11-17T02:09:01,10.00,18,0
